info_id,user_id,first_name,last_name,gender,age,family_number,phone,purok,barangay,municipality,province,zipcode,profile_picture,created_at,updated_at
1,1,Carlos,Reyes,Male,30,4,09171234567,2,"San Juan",Bayawan,"Negros Oriental",3200,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
2,2,Maria,Santos,Female,21,1,09987654321,3,Poblacion,Bayawan,"Negros Oriental",3200,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
3,3,OTC,Paid,Male,30,3,09123456789,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
4,4,OTC,User,Male,30,3,09123456789,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
5,5,First11,Last11,Female,37,2,09560975725,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
6,6,First12,Last12,Male,29,6,09987467937,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
7,7,First13,Last13,Female,50,3,09272608078,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
8,8,First14,Last14,Female,23,5,09441694647,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:20","2025-11-23 18:55:20"
9,9,First15,Last15,Female,35,3,09439629869,1,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
10,10,First21,Last21,Male,49,6,09529067349,2,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
11,11,First22,Last22,Female,28,2,09283149794,2,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
12,12,First23,Last23,Female,35,5,09378508690,2,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
13,13,First24,Last24,Male,20,2,09176537977,2,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
14,14,First25,Last25,Female,26,6,09129226843,2,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
15,15,First31,Last31,Female,22,6,09281440653,3,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
16,16,First32,Last32,Female,53,2,09140528683,3,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:21","2025-11-23 18:55:21"
17,17,First33,Last33,Female,58,4,09791006280,3,Borlongan,Dipaculao,Aurora,3203,,"2025-11-23 18:55:22","2025-11-23 18:55:22"
